paper_id,method_family,title,year,doi_or_url,primary_source_url,geometry_original,geometry_si_m,grid_original,grid_si_or_node_count,k_original,k_si_W_mK,k_class,q_original,q_si_W_m3,source_volume_original,source_volume_si_m3,total_power_original,total_power_si_W,boundary_conditions_original,h_original,h_si_W_m2K,ambient_temperature_original,ambient_temperature_si_K,temperature_range_original,temperature_range_si_K,evidence_location,not_reported_fields,unit_conversion_notes
L11,FVM-compact,3D-ICE 4.0: Accurate and efficient thermal modeling for 2.5D/3D heterogeneous chiplet systems,2025,10.48550/arXiv.2512.05823,https://arxiv.org/abs/2512.05823,industrial heterogeneous chiplet layouts,NR,temperature-aware non-uniform grid,NR,heterogeneous anisotropic layout values,NR,bulk/effective anisotropic,layout power maps,NR,NR,NR,NR,NR,package cooling configurations,NR,NR,NR,NR,NR,NR,"Abstract and implementation/validation sections",public transferable physical ranges,"Adaptive vertical partitioning is qualitative evidence for mesh design"
L12,SPICE-compact,PACT: An Extensible Parallel Thermal Simulator for Emerging Integration and Cooling Technologies,2022,10.1109/TCAD.2021.3079166,https://ieee-ceda.org/media/pact-extensible-parallel-thermal-simulator-emerging-integration-and-cooling-technologies,2.5D system M3D and microchannels,NR,"256 x 256; 512 x 512; 1024 x 1024 examples","65536;262144;1048576 lateral cells",material/network parameters,NR,effective compact,standard-cell or block power,NR,NR,NR,benchmark-dependent,NR,air/liquid/package network BC,case-dependent,NR,case-dependent,NR,COMSOL-validated temperatures,NR,"Scalability and case-study sections",single common geometry and ranges,"SPICE conductance is not bulk k"
L13,analytical-compact,ARTSim: A Robust Thermal Simulator for Heterogeneous Integration Platforms,2023,10.1109/ECTC51909.2023.00203,https://doi.org/10.1109/ECTC51909.2023.00203,heterogeneous integration package cases,NR,adaptive regional model,NR,heterogeneous stack,NR,mixed bulk/effective,chiplet power maps,NR,NR,NR,NR,NR,package convection,NR,NR,NR,NR,COMSOL comparison,NR,"Method and validation sections",public transferable geometry grid k q volume power h ambient and temperature range,"NR retained rather than inferring from later ARTSim versions"
L14,analytical-compact,ARTSim 2.0: Fast and Accurate Thermal Simulation for Advanced Packaging and Chiplet-Based Systems,2025,10.1109/TVLSI.2025.3545604,https://doi.org/10.1109/TVLSI.2025.3545604,advanced packaging and chiplet systems,NR,regional compact discretization,NR,heterogeneous material stack,NR,mixed bulk/effective,chiplet power maps,NR,NR,NR,NR,NR,package cooling,NR,NR,NR,NR,COMSOL/FEM comparison,NR,"Method/case-study tables",public transferable ranges,"NR retained when not reported in accessible primary metadata"
L15,global-local-FVM,ATSim3D: Towards Accurate Thermal Simulator for Heterogeneous 3D-IC Systems Considering Nonlinear Leakage and Conductivity,2026,10.48550/arXiv.2601.11050,https://arxiv.org/abs/2601.11050,heterogeneous 3D-IC systems,NR,up to 4096 x 4096,"16777216 lateral cells",temperature-dependent conductivity,NR,bulk nonlinear,static plus leakage power,NR,NR,NR,NR,NR,global compact plus local FVM BC,NR,NR,NR,NR,COMSOL relative error under 3 percent,NR,"Abstract and numerical experiments",transferable physical ranges,"Resolution is reported as lateral count"
L16,FEM, Thermal modeling and analysis of advanced 3D stacked structures,2012,10.1016/j.proeng.2012.01.858,https://doi.org/10.1016/j.proeng.2012.01.858,2/3-layer stacked middle/high-power IC structures,NR,COMSOL finite-element mesh,NR,layer materials,NR,bulk and effective,uniform and hotspot workloads,NR,NR,NR,varied die power,NR,package thermal boundaries,NR,NR,NR,NR,layer temperature profiles,NR,"Model tables and workload cases",transferable envelope not fully enumerated in metadata,"COMSOL is solver provenance not a physical parameter"
L17,FEA-homogenization,An effective and efficient numerical method for thermal management in 3D stacked integrated circuits,2017,https://www.sciencedirect.com/science/article/pii/S1359431116325418,https://www.sciencedirect.com/science/article/pii/S1359431116325418,TSV interposer/chip and micro-bump stack,"TSV pitch 40 um x 500 um x 40 um cited parametric case",3D FE and equivalent block,NR,anisotropic equivalent k derived from constituents,NR,effective anisotropic,heat-source settings varied,NR,NR,NR,NR,NR,steady natural convection,NR,NR,NR,NR,steady temperature profiles,NR,"Computational model and parametric sections",DOI exact q source volume power h ambient and temperature range,"um x 1e-6=m; effective k must not be labeled bulk"
L18,FEA-analytical,Anisotropic equivalent thermal conductivity model for efficient and accurate full-chip-scale numerical simulation of 3D stacked IC,2018,10.1016/j.ijheatmasstransfer.2017.10.044,https://doi.org/10.1016/j.ijheatmasstransfer.2017.10.044,full-chip 3D stacked IC with TSV network,NR,partitioned full-chip FE model,NR,anisotropic equivalent conductivity,NR,effective anisotropic,chip heat generation,NR,NR,NR,NR,NR,package thermal boundary,NR,NR,NR,NR,steady temperature,NR,"Model and partitioning studies",transferable numeric envelope,"Equivalent tensor is geometry-dependent and not bulk material k"
L19,FDM-quasi-3D,Quasi-3D Thermal Simulation of Integrated Circuit Systems in Packages,2020,10.3390/en13123054,https://www.mdpi.com/1996-1073/13/12/3054,"35 x 35 x 3.25 mm package; validation dies 1 x 1 x 0.1 mm","0.035 x 0.035 x 0.00325; 0.001 x 0.001 x 0.0001",nonuniform up to 700 x 700,up to 490000 nodes,material table by layer,NR,bulk/effective,power density by active die,NR,NR,NR,"20 W package; 10 W/die; validation 1 W",20,"constant PCB ambient or convective surfaces; side BC specified",NR,NR,"85 degC validation case",358.15,"44/55/72 degC package maxima; validation 85-130 degC","317.15/328.15/345.15 K; 358.15-403.15 K","Secs. 3-5 and Tables 1-4",source volume exact h and q,"degC + 273.15=K; mm x 1e-3=m"
L20,measurement,Anisotropic thermal conductivity of high bandwidth memory,2023,10.48550/arXiv.2303.06785,https://arxiv.org/abs/2303.06785,"top 6 x 10 mm; base 7 x 11 mm; total 700 um; DRAM 120/80 um; base 150 um; interfaces 65 um","0.006 x 0.01; 0.007 x 0.011; 0.0007; layers 1.2e-4/8e-5/1.5e-4/6.5e-5",x-ray 1 um pixels over 6 x 4 mm field,"1e-6 m pixel",memory in-plane 140; polymer/solder through-plane 2; device effective in-plane 100 and through-plane 7,"140;2;100;7",bulk-layer measurement and effective-device,3-omega heater input,NR,NR,NR,NR,NR,convective losses suppressed during measurement,NR,NR,laboratory ambient,NR,frequency-dependent temperature oscillation,NR,"Secs. 2-4 and tomography/3omega figures",q source volume total power h temperature range,"um x 1e-6=m; measured layer k kept separate from effective device k"
L21,FEM-high-resolution,Thermal Implications of Non-Uniform Power in BSPDN-Enabled 2.5D/3D Chiplet-based Systems-in-Package using Nanosheet Technology,2025,10.48550/arXiv.2508.02284,https://arxiv.org/abs/2508.02284,chiplets approximately 10-23 mm lateral with interposer/package layers,approximately 0.01-0.023 m lateral,"5 um high-resolution power maps; 200 um coarse",5e-6 and 2e-4 m lateral sampling,"logic silicon 135; lower-k layer 71; mold 3 W/(m K)","135;71;3",bulk and effective,nonuniform workload maps,q NR,NR,NR,workload/component totals in paper,NR,"top/bottom convection",2500 and 200 W/(m2 K),"2500;200",25 degC,298.15,temperature maps reported,NR,"Material/geometry table and thermal setup",single q volume and transferable temperature envelope,"um x 1e-6=m; degC + 273.15=K"
L22,COMSOL-FEM,Evaluation of Face-to-Face 3D Integrated Circuits for High Performance Computing,2020,10.48550/arXiv.2007.16179,https://arxiv.org/abs/2007.16179,"10 x 10 mm package; CPUs 200 um apart; 1 mm margin","0.01 x 0.01 m; 2e-4 m separation; 1e-3 m margin",COMSOL finite-element mesh,NR,material table in paper,NR,bulk/effective,CPU workload power,NR,NR,NR,workload-dependent,NR,package cooling HTC sweep,case-dependent,NR,ambient parameter,NR,"reported temperature changes approximately 5-12 degC in studied comparisons","5-12 K differences","Thermal model and evaluation sections",transferable q source volume and exact common h,"Temperature difference degC equals K"
L23,convolution-model,Fast convolution based thermal model for 3D-ICs: Methodology accuracy analysis and package impact,2014,10.1016/j.mejo.2014.04.044,https://doi.org/10.1016/j.mejo.2014.04.044,3D-IC die/package stacks,NR,convolution grid,NR,layer material parameters,NR,bulk/effective,power maps,NR,NR,NR,benchmark-dependent,NR,package impact explicitly modeled,NR,NR,ambient parameter,NR,steady/transient temperatures,NR,"Methodology and validation sections",single physical envelope,"Convolution kernel parameters are not independent bulk properties"
L24,FEM,Temperature gradient-aware thermal simulator for three-dimensional integrated circuits,2017,10.1049/iet-cdt.2016.0149,https://doi.org/10.1049/iet-cdt.2016.0149,3D-IC stack,NR,gradient-adaptive discretization,NR,layer material properties,NR,bulk/effective,power maps,NR,NR,NR,benchmark-dependent,NR,package thermal boundary,NR,NR,NR,NR,HotSpot comparison temperatures,NR,"Method and experiments",public transferable geometry grid q volume h and temperature range,"NR retained rather than reverse engineering benchmark defaults"
